card_set_id,card_name,set_name,rarity,market_price,date_scraped
EB01-041,Crocus,Extra Booster: Memorial Collection,C,0.06,2026-04-14
EB01-042,Scarlet,Extra Booster: Memorial Collection,R,0.27,2026-04-14
EB01-043,Spandine,Extra Booster: Memorial Collection,R,0.4,2026-04-14
EB01-044,Funkfreed,Extra Booster: Memorial Collection,C,0.06,2026-04-14
EB01-045,Brook (045),Extra Booster: Memorial Collection,C,0.15,2026-04-14
EB01-046,Brook (046),Extra Booster: Memorial Collection,SR,1.2,2026-04-14
EB01-046,Brook (046),Extra Booster: Memorial Collection,SR,35.46,2026-04-14
EB01-046,Brook (046),Extra Booster: Memorial Collection,SR,0.67,2026-04-14
EB01-047,Laboon (047),Extra Booster: Memorial Collection,C,0.15,2026-04-14
EB01-048,Laboon (048),Extra Booster: Memorial Collection,SR,1.89,2026-04-14
EB01-048,Laboon (048),Extra Booster: Memorial Collection,SR,0.83,2026-04-14
EB01-048,Laboon (048),Extra Booster: Memorial Collection,SR,54.63,2026-04-14
EB01-049,T-Bone,Extra Booster: Memorial Collection,R,0.81,2026-04-14
EB01-049,T-Bone,Extra Booster: Memorial Collection,R,8.27,2026-04-14
EB01-050,...I Want to Live!!,Extra Booster: Memorial Collection,C,0.18,2026-04-14
EB01-051,Finger Pistol,Extra Booster: Memorial Collection,R,1.03,2026-04-14
EB01-051,Finger Pistol,Extra Booster: Memorial Collection,R,0.47,2026-04-14
EB01-051,Finger Pistol,Extra Booster: Memorial Collection,R,16.17,2026-04-14
EB01-052,Viola,Extra Booster: Memorial Collection,SR,6.83,2026-04-14
EB01-052,Viola,Extra Booster: Memorial Collection,SR,20.11,2026-04-14
EB01-053,Gastino,Extra Booster: Memorial Collection,C,0.06,2026-04-14
EB01-054,Gan.Fall,Extra Booster: Memorial Collection,R,0.16,2026-04-14
EB01-056,Charlotte Flampe (SP),Royal Blood,R,50.92,2026-04-14
EB01-056,Charlotte Flampe (SP),Royal Blood,R,5.25,2026-04-14
EB01-056,Charlotte Flampe (SP),Royal Blood,R,27.86,2026-04-14
EB01-057,Shirahoshi (SP),A Fist of Divine Speed,SR,108.02,2026-04-14
EB01-057,Shirahoshi (SP),A Fist of Divine Speed,SR,0.67,2026-04-14
EB01-057,Shirahoshi (SP),A Fist of Divine Speed,SR,10.49,2026-04-14
EB01-057,Shirahoshi (SP),A Fist of Divine Speed,SR,0.5,2026-04-14
EB01-059,Kingdom Come,Extra Booster: Memorial Collection,R,6.43,2026-04-14
EB01-060,Did Someone Say...Kami?,Extra Booster: Memorial Collection,C,0.08,2026-04-14
EB01-060,Did Someone Say...Kami?,Extra Booster: Memorial Collection,C,0.18,2026-04-14
EB01-060,Did Someone Say...Kami?,Extra Booster: Memorial Collection,C,0.04,2026-04-14
EB01-061,Mr.2.Bon.Kurei (Bentham),Extra Booster: Memorial Collection,SEC,18.09,2026-04-14
EB01-061,Mr.2.Bon.Kurei (Bentham),Extra Booster: Memorial Collection,SEC,143.02,2026-04-14
EB01-061,Mr.2.Bon.Kurei (Bentham),Extra Booster: Memorial Collection,SEC,16.09,2026-04-14
EB02-001,Karoo,Extra Booster: Anime 25th Collection,C,0.12,2026-04-14
EB02-002,Sabo,Extra Booster: Anime 25th Collection,R,0.74,2026-04-14
EB02-003,Tony Tony.Chopper,Extra Booster: Anime 25th Collection,R,0.58,2026-04-14
EB02-003,Tony Tony.Chopper,Extra Booster: Anime 25th Collection,R,22.6,2026-04-14
EB02-004,Don Accino,Extra Booster: Anime 25th Collection,C,0.05,2026-04-14
EB02-005,Fake Straw Hat Crew,Extra Booster: Anime 25th Collection,C,0.07,2026-04-14
EB02-006,Yamato,Extra Booster: Anime 25th Collection,SR,8.68,2026-04-14
EB02-006,Yamato,Extra Booster: Anime 25th Collection,SR,39.09,2026-04-14
EB02-007,Cloven Rose Blizzard,Extra Booster: Anime 25th Collection,C,0.08,2026-04-14
EB02-008,The Peak,Extra Booster: Anime 25th Collection,R,0.74,2026-04-14
EB02-009,Thousand Sunny,Extra Booster: Anime 25th Collection,C,0.11,2026-04-14
EB02-010,Monkey.D.Luffy (010),Extra Booster: Anime 25th Collection,L,0.4,2026-04-14
EB02-010,Monkey.D.Luffy (010),Extra Booster: Anime 25th Collection,L,795.64,2026-04-14
EB02-011,Arlong,Extra Booster: Anime 25th Collection,SR,2.85,2026-04-14
EB02-011,Arlong,Extra Booster: Anime 25th Collection,SR,10.21,2026-04-14
EB02-012,Gaimon,Extra Booster: Anime 25th Collection,C,0.06,2026-04-14
EB02-013,Carrot,Extra Booster: Anime 25th Collection,C,0.27,2026-04-14
EB02-014,Sarfunkel,Extra Booster: Anime 25th Collection,C,0.06,2026-04-14
EB02-015,Jewelry Bonney,Extra Booster: Anime 25th Collection,SR,1.58,2026-04-14
EB02-015,Jewelry Bonney,Extra Booster: Anime 25th Collection,SR,12.55,2026-04-14
EB02-016,Chopperman,Extra Booster: Anime 25th Collection,C,0.19,2026-04-14
EB02-017,Nami,Extra Booster: Anime 25th Collection,R,9.23,2026-04-14
EB02-017,Nami,Extra Booster: Anime 25th Collection,R,121.65,2026-04-14
EB02-018,Buggy,Extra Booster: Anime 25th Collection,R,0.59,2026-04-14
EB02-019,Roronoa Zoro,Extra Booster: Anime 25th Collection,R,0.41,2026-04-14
EB02-020,We Are!,Extra Booster: Anime 25th Collection,R,1.2,2026-04-14
EB02-021,Gum-Gum Giant Pistol,Extra Booster: Anime 25th Collection,C,0.17,2026-04-14
EB02-022,Usopp,Extra Booster: Anime 25th Collection,R,0.26,2026-04-14
EB02-022,Usopp,Extra Booster: Anime 25th Collection,R,26.74,2026-04-14
EB02-023,Crocodile,Extra Booster: Anime 25th Collection,C,0.11,2026-04-14
EB02-024,Sogeking,Extra Booster: Anime 25th Collection,C,0.11,2026-04-14
EB02-025,Donquixote Rosinante,Extra Booster: Anime 25th Collection,R,0.22,2026-04-14
EB02-026,Nefeltari Vivi,Extra Booster: Anime 25th Collection,SR,6.94,2026-04-14
EB02-026,Nefeltari Vivi,Extra Booster: Anime 25th Collection,SR,26.43,2026-04-14
EB02-026,Nefeltari Vivi,Extra Booster: Anime 25th Collection,SR,7.98,2026-04-14
EB02-027,Vista,Extra Booster: Anime 25th Collection,C,0.06,2026-04-14
EB02-028,Portgas.D.Ace,Extra Booster: Anime 25th Collection,R,0.28,2026-04-14
EB02-028,Portgas.D.Ace,Extra Booster: Anime 25th Collection,R,151.49,2026-04-14
EB02-029,Grandpa Ryu,Extra Booster: Anime 25th Collection,C,0.06,2026-04-14
EB02-030,And That's When Somebody Makes Fun of Their Friend's Dream!!!!,Extra Booster: Anime 25th Collection,C,0.1,2026-04-14
EB02-031,Hope,Extra Booster: Anime 25th Collection,R,0.45,2026-04-14
EB02-032,Iceburg,Extra Booster: Anime 25th Collection,C,0.07,2026-04-14
EB02-033,Klabautermann,Extra Booster: Anime 25th Collection,C,0.06,2026-04-14
EB02-034,Komei,Extra Booster: Anime 25th Collection,C,0.05,2026-04-14
EB02-035,Sanji & Pudding,Extra Booster: Anime 25th Collection,SR,19.47,2026-04-14
EB02-035,Sanji & Pudding,Extra Booster: Anime 25th Collection,SR,64.27,2026-04-14
EB02-036,Nico Robin,Extra Booster: Anime 25th Collection,R,1.03,2026-04-14
EB02-036,Nico Robin,Extra Booster: Anime 25th Collection,R,37.22,2026-04-14
EB02-037,Franky,Extra Booster: Anime 25th Collection,R,0.26,2026-04-14
EB02-038,Magellan,Extra Booster: Anime 25th Collection,C,0.06,2026-04-14
EB02-039,GERMA 66,Extra Booster: Anime 25th Collection,C,0.11,2026-04-14
EB02-040,BRAND NEW WORLD,Extra Booster: Anime 25th Collection,R,0.54,2026-04-14
EB02-041,Merry Go (041),Extra Booster: Anime 25th Collection,R,0.67,2026-04-14
EB02-042,All-Hunt Grount,Extra Booster: Anime 25th Collection,C,0.06,2026-04-14
EB02-043,Jonathan,Extra Booster: Anime 25th Collection,C,0.05,2026-04-14
EB02-044,Sengoku,Extra Booster: Anime 25th Collection,SR,2.44,2026-04-14
EB02-044,Sengoku,Extra Booster: Anime 25th Collection,SR,10.4,2026-04-14
EB02-045,Trafalgar Law,Extra Booster: Anime 25th Collection,SR,1.79,2026-04-14
EB02-045,Trafalgar Law,Extra Booster: Anime 25th Collection,SR,18.27,2026-04-14
EB02-046,Hildon,Extra Booster: Anime 25th Collection,C,0.06,2026-04-14
EB02-047,Blueno,Extra Booster: Anime 25th Collection,C,0.06,2026-04-14
EB02-048,Brook,Extra Booster: Anime 25th Collection,R,0.26,2026-04-14
EB02-048,Brook,Extra Booster: Anime 25th Collection,R,17.22,2026-04-14
EB02-049,Monkey.D.Garp,Extra Booster: Anime 25th Collection,R,0.2,2026-04-14
EB02-050,Kokoro no Chizu,Extra Booster: Anime 25th Collection,R,0.54,2026-04-14
EB02-051,Three-Pace Hum Soul Notch Slash,Extra Booster: Anime 25th Collection,C,0.08,2026-04-14
EB02-052,Enel,Extra Booster: Anime 25th Collection,SR,24.99,2026-04-14
EB02-052,Enel,Extra Booster: Anime 25th Collection,SR,60.31,2026-04-14
EB02-053,Myskina Olga,Extra Booster: Anime 25th Collection,C,0.05,2026-04-14
EB02-054,Sanji,Extra Booster: Anime 25th Collection,R,0.63,2026-04-14
EB02-054,Sanji,Extra Booster: Anime 25th Collection,R,14.46,2026-04-14
EB02-055,Jinbe,Extra Booster: Anime 25th Collection,R,0.24,2026-04-14
EB02-056,Vegapunk,Extra Booster: Anime 25th Collection,SR,5.18,2026-04-14
EB02-056,Vegapunk,Extra Booster: Anime 25th Collection,SR,26.09,2026-04-14
EB02-057,Mad Treasure,Extra Booster: Anime 25th Collection,C,0.04,2026-04-14
EB02-058,UUUUUS!,Extra Booster: Anime 25th Collection,R,1.44,2026-04-14
EB02-059,Without Your Help I Can't Become the King of the Pirates!!!!,Extra Booster: Anime 25th Collection,C,0.09,2026-04-14
EB02-060,Merry Go (060),Extra Booster: Anime 25th Collection,C,0.13,2026-04-14
EB02-061,Monkey.D.Luffy (061),Extra Booster: Anime 25th Collection,SEC,9.52,2026-04-14
EB02-061,Monkey.D.Luffy (061),Extra Booster: Anime 25th Collection,SEC,62.88,2026-04-14
EB02-061,Monkey.D.Luffy (061),Extra Booster: Anime 25th Collection,SEC,2128.74,2026-04-14
EB02-061,Monkey.D.Luffy (061),Extra Booster: Anime 25th Collection,SEC,7.18,2026-04-14
EB02-061,Monkey.D.Luffy (061),Extra Booster: Anime 25th Collection,SEC,563.01,2026-04-14
EB03-001,Nefeltari Vivi (001),Extra Booster: One Piece Heroines Edition,L,0.17,2026-04-14
EB03-001,Nefeltari Vivi (001),Extra Booster: One Piece Heroines Edition,L,10.45,2026-04-14
EB03-002,Ain,Extra Booster: One Piece Heroines Edition,C,0.06,2026-04-14
EB03-003,Uta (003) (Alternate Art),Extra Booster: One Piece Heroines Edition,SR,9.18,2026-04-14
EB03-003,Uta (003) (Alternate Art),Extra Booster: One Piece Heroines Edition,SR,309.46,2026-04-14
EB03-003,Uta (003) (Alternate Art),Extra Booster: One Piece Heroines Edition,SR,0.51,2026-04-14
EB03-004,Carina,Extra Booster: One Piece Heroines Edition,C,0.07,2026-04-14
EB03-005,Sugar,Extra Booster: One Piece Heroines Edition,R,0.12,2026-04-14
EB03-006,Nami (006),Extra Booster: One Piece Heroines Edition,R,0.53,2026-04-14
EB03-007,Baccarat,Extra Booster: One Piece Heroines Edition,C,0.07,2026-04-14
EB03-008,Hibari,Extra Booster: One Piece Heroines Edition,R,0.29,2026-04-14
EB03-008,Hibari,Extra Booster: One Piece Heroines Edition,R,11.65,2026-04-14
EB03-009,Makino,Extra Booster: One Piece Heroines Edition,C,0.07,2026-04-14
EB03-010,Monet,Extra Booster: One Piece Heroines Edition,R,0.14,2026-04-14
EB03-011,But If We Ever See Each Other Again... Will You Call Me Your Shipmate?!!,Extra Booster: One Piece Heroines Edition,C,0.1,2026-04-14
EB03-012,Otama,Extra Booster: One Piece Heroines Edition,R,0.11,2026-04-14
EB03-013,Carrot,Extra Booster: One Piece Heroines Edition,R,0.18,2026-04-14
EB03-013,Carrot,Extra Booster: One Piece Heroines Edition,R,7.3,2026-04-14
EB03-014,Kuina,Extra Booster: One Piece Heroines Edition,C,0.08,2026-04-14
EB03-015,Camie,Extra Booster: One Piece Heroines Edition,C,0.06,2026-04-14
EB03-016,Kouzuki Hiyori,Extra Booster: One Piece Heroines Edition,C,0.06,2026-04-14
EB03-017,Jewelry Bonney,Extra Booster: One Piece Heroines Edition,R,0.25,2026-04-14
EB03-018,Tashigi,Extra Booster: One Piece Heroines Edition,SR,0.65,2026-04-14
EB03-018,Tashigi,Extra Booster: One Piece Heroines Edition,SR,7.31,2026-04-14
EB03-018,Tashigi,Extra Booster: One Piece Heroines Edition,SR,134.74,2026-04-14
EB03-019,Wanda,Extra Booster: One Piece Heroines Edition,C,0.07,2026-04-14
EB03-020,"There You Are, Sore Loser!",Extra Booster: One Piece Heroines Edition,C,0.08,2026-04-14
EB03-021,Alvida,Extra Booster: One Piece Heroines Edition,C,0.06,2026-04-14
EB03-022,Isuka,Extra Booster: One Piece Heroines Edition,R,0.2,2026-04-14
EB03-023,Kaya,Extra Booster: One Piece Heroines Edition,C,0.08,2026-04-14
EB03-024,Nefeltari Vivi (024),Extra Booster: One Piece Heroines Edition,SR,2.83,2026-04-14
EB03-024,Nefeltari Vivi (024),Extra Booster: One Piece Heroines Edition,SR,29.46,2026-04-14
EB03-024,Nefeltari Vivi (024),Extra Booster: One Piece Heroines Edition,SR,366.51,2026-04-14
EB03-025,Hina,Extra Booster: One Piece Heroines Edition,R,0.19,2026-04-14
EB03-025,Hina,Extra Booster: One Piece Heroines Edition,R,4.64,2026-04-14
EB03-026,Boa Hancock,Extra Booster: One Piece Heroines Edition,SR,0.94,2026-04-14
EB03-026,Boa Hancock,Extra Booster: One Piece Heroines Edition,SR,29.78,2026-04-14
EB03-026,Boa Hancock,Extra Booster: One Piece Heroines Edition,SR,849.34,2026-04-14
EB03-027,Marguerite,Extra Booster: One Piece Heroines Edition,R,0.13,2026-04-14
EB03-028,Yu,Extra Booster: One Piece Heroines Edition,C,0.05,2026-04-14
EB03-029,Insolent Fool!! Stand Down!!,Extra Booster: One Piece Heroines Edition,C,0.1,2026-04-14
EB03-030,Viola,Extra Booster: One Piece Heroines Edition,C,0.05,2026-04-14
EB03-031,Vinsmoke Reiju,Extra Booster: One Piece Heroines Edition,SR,1.31,2026-04-14
EB03-031,Vinsmoke Reiju,Extra Booster: One Piece Heroines Edition,SR,10.39,2026-04-14
EB03-031,Vinsmoke Reiju,Extra Booster: One Piece Heroines Edition,SR,214.4,2026-04-14
EB03-032,Charlotte Flampe,Extra Booster: One Piece Heroines Edition,C,0.05,2026-04-14
EB03-033,Charlotte Brulee,Extra Booster: One Piece Heroines Edition,C,0.07,2026-04-14
EB03-034,Charlotte Linlin,Extra Booster: One Piece Heroines Edition,R,0.27,2026-04-14
EB03-034,Charlotte Linlin,Extra Booster: One Piece Heroines Edition,R,11.3,2026-04-14
EB03-035,Charlotte Pudding,Extra Booster: One Piece Heroines Edition,R,0.21,2026-04-14
EB03-036,Baby 5,Extra Booster: One Piece Heroines Edition,C,0.08,2026-04-14
EB03-037,Lim,Extra Booster: One Piece Heroines Edition,R,0.13,2026-04-14
EB03-038,Thanks for the Treat.,Extra Booster: One Piece Heroines Edition,C,0.06,2026-04-14
EB03-039,Ulti,Extra Booster: One Piece Heroines Edition,R,0.1,2026-04-14
EB03-040,Kalifa,Extra Booster: One Piece Heroines Edition,C,0.08,2026-04-14
EB03-041,Kujyaku,Extra Booster: One Piece Heroines Edition,R,0.3,2026-04-14
EB03-041,Kujyaku,Extra Booster: One Piece Heroines Edition,R,12.8,2026-04-14
EB03-042,Koala,Extra Booster: One Piece Heroines Edition,SR,1.22,2026-04-14
EB03-042,Koala,Extra Booster: One Piece Heroines Edition,SR,9.72,2026-04-14
EB03-042,Koala,Extra Booster: One Piece Heroines Edition,SR,131.62,2026-04-14
EB03-043,Stussy,Extra Booster: One Piece Heroines Edition,R,0.1,2026-04-14
EB03-044,Black Maria,Extra Booster: One Piece Heroines Edition,C,0.09,2026-04-14
EB03-045,Perona (045),Extra Booster: One Piece Heroines Edition,SR,1.13,2026-04-14
EB03-045,Perona (045),Extra Booster: One Piece Heroines Edition,SR,16.59,2026-04-14
EB03-045,Perona (045),Extra Booster: One Piece Heroines Edition,SR,281.51,2026-04-14
EB03-046,Miss Doublefinger(Zala),Extra Booster: One Piece Heroines Edition,C,0.08,2026-04-14
EB03-047,Miss.Valentine(Mikita),Extra Booster: One Piece Heroines Edition,C,0.09,2026-04-14
EB03-048,Rebecca,Extra Booster: One Piece Heroines Edition,R,0.15,2026-04-14
EB03-049,I Knew You People Were Behind This.,Extra Booster: One Piece Heroines Edition,C,0.09,2026-04-14
EB03-050,Conis,Extra Booster: One Piece Heroines Edition,C,0.1,2026-04-14
EB03-051,Charlotte Smoothie,Extra Booster: One Piece Heroines Edition,C,0.11,2026-04-14
EB03-052,Shirahoshi,Extra Booster: One Piece Heroines Edition,R,0.23,2026-04-14
EB03-053,Nami (053),Extra Booster: One Piece Heroines Edition,SR,33.58,2026-04-14
EB03-053,Nami (053),Extra Booster: One Piece Heroines Edition,SR,104.16,2026-04-14
EB03-053,Nami (053),Extra Booster: One Piece Heroines Edition,SR,1202.49,2026-04-14
EB03-054,Nico Robin (054),Extra Booster: One Piece Heroines Edition,C,0.1,2026-04-14
EB03-055,Nico Robin (055),Extra Booster: One Piece Heroines Edition,SR,15.54,2026-04-14
EB03-055,Nico Robin (055),Extra Booster: One Piece Heroines Edition,SR,71.49,2026-04-14
EB03-055,Nico Robin (055),Extra Booster: One Piece Heroines Edition,SR,996.89,2026-04-14
EB03-056,Belo Betty,Extra Booster: One Piece Heroines Edition,C,0.09,2026-04-14
EB03-057,Yamato,Extra Booster: One Piece Heroines Edition,R,0.44,2026-04-14
EB03-057,Yamato,Extra Booster: One Piece Heroines Edition,R,13.18,2026-04-14
EB03-058,Lilith,Extra Booster: One Piece Heroines Edition,R,0.21,2026-04-14
EB03-059,S-Snake,Extra Booster: One Piece Heroines Edition,R,0.27,2026-04-14
EB03-060,Will You Be My Servant?,Extra Booster: One Piece Heroines Edition,C,0.11,2026-04-14
EB03-061,Uta (061) (Alternate Art),Extra Booster: One Piece Heroines Edition,SEC,13.38,2026-04-14
EB03-061,Uta (061) (Alternate Art),Extra Booster: One Piece Heroines Edition,SEC,1329.27,2026-04-14
EB03-061,Uta (061) (Alternate Art),Extra Booster: One Piece Heroines Edition,SEC,5.33,2026-04-14
EB03-062,Trafalgar Law (Alternate Art),Extra Booster: One Piece Heroines Edition,SEC,25.74,2026-04-14
EB03-062,Trafalgar Law (Alternate Art),Extra Booster: One Piece Heroines Edition,SEC,15.61,2026-04-14
EB04-011,Scaled Neptunian,The Azure Sea's Seven,C,0.08,2026-04-14
EB04-012,Kikunojo - EB04-012 (Alternate Art),The Azure Sea's Seven,SR,4.81,2026-04-14
EB04-012,Kikunojo - EB04-012 (Alternate Art),The Azure Sea's Seven,SR,0.37,2026-04-14
EB04-013,Carrot,The Azure Sea's Seven,SR,0.39,2026-04-14
EB04-013,Carrot,The Azure Sea's Seven,SR,11.16,2026-04-14
EB04-014,Kouzuki Sukiyaki,The Azure Sea's Seven,C,0.08,2026-04-14
EB04-015,Jinbe - EB04-015,The Azure Sea's Seven,R,0.18,2026-04-14
EB04-016,Bird Neptunian,The Azure Sea's Seven,C,0.09,2026-04-14
EB04-017,Mystoms,The Azure Sea's Seven,C,0.08,2026-04-14
EB04-018,Megalo,The Azure Sea's Seven,R,0.49,2026-04-14
EB04-018,Megalo,The Azure Sea's Seven,R,12.87,2026-04-14
EB04-019,Eleclaw,The Azure Sea's Seven,R,0.17,2026-04-14
EB04-020,Shark Brick Fist,The Azure Sea's Seven,C,0.09,2026-04-14
EB04-021,Igaram,The Azure Sea's Seven,C,0.06,2026-04-14
EB04-022,Issho - EB04-022,The Azure Sea's Seven,R,0.28,2026-04-14
EB04-022,Issho - EB04-022,The Azure Sea's Seven,R,9.2,2026-04-14
EB04-023,Chaka & Pell - EB04-023,The Azure Sea's Seven,R,0.18,2026-04-14
EB04-024,Terracotta,The Azure Sea's Seven,C,0.12,2026-04-14
EB04-025,Nefeltari Vivi,The Azure Sea's Seven,SR,0.77,2026-04-14
EB04-025,Nefeltari Vivi,The Azure Sea's Seven,SR,31.84,2026-04-14
EB04-026,Bluegrass,The Azure Sea's Seven,C,0.13,2026-04-14
EB04-027,Boa Hancock - EB04-027,The Azure Sea's Seven,R,0.21,2026-04-14
EB04-028,Ice Time,The Azure Sea's Seven,R,0.19,2026-04-14
EB04-029,I Heard the Sound...of a Lady's Teardrops Falling,The Azure Sea's Seven,UC,0.11,2026-04-14
EB04-030,Kaido,The Azure Sea's Seven,R,0.16,2026-04-14
EB04-031,King (Alternate Art),The Azure Sea's Seven,R,5.08,2026-04-14
EB04-031,King (Alternate Art),The Azure Sea's Seven,R,0.14,2026-04-14
EB04-032,Queen,The Azure Sea's Seven,R,0.13,2026-04-14
EB04-033,Groggy Monsters,The Azure Sea's Seven,C,0.07,2026-04-14
EB04-034,Charlotte Pudding,The Azure Sea's Seven,C,0.08,2026-04-14
EB04-035,Hitokiri Kamazo,The Azure Sea's Seven,C,0.07,2026-04-14
EB04-036,Foxy,The Azure Sea's Seven,SR,0.23,2026-04-14
EB04-036,Foxy,The Azure Sea's Seven,SR,5.17,2026-04-14
EB04-037,Porche,The Azure Sea's Seven,C,0.12,2026-04-14
EB04-038,Rosinante & Law (Alternate Art),The Azure Sea's Seven,SR,34.79,2026-04-14
EB04-038,Rosinante & Law (Alternate Art),The Azure Sea's Seven,SR,1.42,2026-04-14
EB04-039,"Eustass""Captain""Kid - EB04-039",The Azure Sea's Seven,R,0.15,2026-04-14
EB04-039,"Eustass""Captain""Kid - EB04-039",The Azure Sea's Seven,R,90.99,2026-04-14
EB04-040,Flame Dragon Torch,The Azure Sea's Seven,R,0.14,2026-04-14
EB04-041,Stealth Black,The Azure Sea's Seven,C,0.12,2026-04-14
OP01-001,Roronoa Zoro (001),Romance Dawn,L,1.98,2026-04-14
OP01-001,Roronoa Zoro (001),Romance Dawn,L,558.38,2026-04-14
OP01-002,Trafalgar Law (002),Romance Dawn,L,1.26,2026-04-14
OP01-003,Monkey.D.Luffy (003),Romance Dawn,L,9.26,2026-04-14
OP01-004,Usopp,Romance Dawn,R,0.2,2026-04-14
OP01-005,Uta,Romance Dawn,R,0.25,2026-04-14
OP01-006,Otama,Romance Dawn,UC,0.32,2026-04-14
